age,year,num
17,2004,89
18,2005,163
19,2006,121
20,2007,307
21,2008,164
22,2009,1738
23,2010,800
24,2011,859
25,2012,2332
3,1991,1067
4,1992,779
5,1993,393
6,1994,250
7,1995,276
8,1996,238
9,1997,88
10,1998,58
11,1999,40
12,2000,13
13,2001,69
14,2002,117
15,2003,3
16,2004,82
17,2005,106
18,2006,55
19,2007,185
20,2008,104
21,2009,1022
22,2010,197
23,2011,693
24,2012,1741
2,1991,1603
3,1992,1185
4,1993,612
5,1994,384
6,1995,412
7,1996,339
8,1997,127
9,1998,82
10,1999,53
11,2000,20
12,2001,69
13,2002,104
14,2003,4
15,2004,76
16,2005,76
17,2006,29
18,2007,107
19,2008,70
20,2009,633
21,2010,35
22,2011,524
23,2012,963
1,1991,2423
2,1992,1815
3,1993,961
4,1994,593
5,1995,622
6,1996,489
7,1997,187
8,1998,119
9,1999,70
10,2000,30
11,2001,85
12,2002,107
13,2003,6
14,2004,71
15,2005,62
16,2006,23
17,2007,67
18,2008,50
19,2009,362
20,2010,15
21,2011,369
22,2012,451
1,1992,2805
2,1993,1520
3,1994,925
4,1995,950
5,1996,712
6,1997,280
7,1998,175
8,1999,100
9,2000,48
10,2001,117
11,2002,127
12,2003,10
13,2004,67
14,2005,65
15,2006,24
16,2007,51
17,2008,37
18,2009,197
19,2010,11
20,2011,236
21,2012,254
1,1993,2421
2,1994,1456
3,1995,1464
4,1996,1049
5,1997,426
6,1998,259
7,1999,144
8,2000,74
9,2001,168
10,2002,169
11,2003,14
12,2004,71
13,2005,77
14,2006,31
15,2007,48
16,2008,32
17,2009,116
18,2010,9
19,2011,138
20,2012,172
1,1994,2306
2,1995,2271
3,1996,1560
4,1997,654
5,1998,392
6,1999,210
7,2000,117
8,2001,239
9,2002,239
10,2003,22
11,2004,90
12,2005,97
13,2006,40
14,2007,54
15,2008,32
16,2009,85
17,2010,9
18,2011,75
19,2012,116
1,1995,3557
2,1996,2341
3,1997,1012
4,1998,597
5,1999,315
6,2000,183
7,2001,349
8,2002,341
9,2003,34
10,2004,120
11,2005,126
12,2006,52
13,2007,66
14,2008,37
15,2009,81
16,2010,9
17,2011,44
18,2012,76
1,1996,3548
2,1997,1583
3,1998,915
4,1999,476
5,2000,290
6,2001,512
7,2002,495
8,2003,48
9,2004,172
10,2005,166
11,2006,71
12,2007,84
13,2008,45
14,2009,91
15,2010,12
16,2011,31
17,2012,49
1,1997,2496
2,1998,1417
3,1999,731
4,2000,462
5,2001,759
6,2002,729
7,2003,69
8,2004,248
9,2005,221
10,2006,96
11,2007,110
12,2008,59
13,2009,111
14,2010,13
15,2011,28
16,2012,34
1,1998,2214
2,1999,1141
3,2000,736
4,2001,1138
5,2002,1086
6,2003,101
7,2004,363
8,2005,296
9,2006,132
10,2007,148
11,2008,77
12,2009,140
13,2010,18
14,2011,31
15,2012,29
1,1999,1799
2,2000,1179
3,2001,1721
4,2002,1641
5,2003,148
6,2004,538
7,2005,403
8,2006,186
9,2007,201
10,2008,102
11,2009,186
12,2010,24
13,2011,36
14,2012,31
1,2000,1898
2,2001,2632
3,2002,2509
4,2003,215
5,2004,809
6,2005,556
7,2006,269
8,2007,277
9,2008,140
10,2009,250
11,2010,34
12,2011,45
13,2012,39
1,2001,4070
2,2002,3873
3,2003,315
4,2004,1227
5,2005,775
6,2006,391
7,2007,390
8,2008,194
9,2009,341
10,2010,47
11,2011,57
12,2012,50
1,2002,6047
2,2003,462
3,2004,1880
4,2005,1096
5,2006,581
6,2007,561
7,2008,275
8,2009,473
9,2010,70
10,2011,71
11,2012,69
1,2003,677
2,2004,2912
3,2005,1567
4,2006,872
5,2007,811
6,2008,394
7,2009,669
8,2010,103
9,2011,95
10,2012,96
1,2004,4553
2,2005,2278
3,2006,1319
4,2007,1198
5,2008,578
6,2009,959
7,2010,156
8,2011,121
9,2012,133
1,2005,3358
2,2006,2019
3,2007,1791
4,2008,861
5,2009,1393
6,2010,240
7,2011,161
8,2012,188
1,2006,3120
2,2007,2711
3,2008,1299
4,2009,2057
5,2010,374
6,2011,213
7,2012,264
1,2007,4152
2,2008,1983
3,2009,3077
4,2010,590
5,2011,282
6,2012,378
1,2008,3066
2,2009,4663
3,2010,936
4,2011,380
5,2012,543
1,2009,7153
2,2010,1500
3,2011,514
4,2012,787
1,2010,2421
2,2011,703
3,2012,1150
1,2011,967
2,2012,1697
1,2012,2526
